Date,Location,Store_ID,Product_Category,Sales_USD,Quantity,Discount_Applied
2024-01-01,London,ST-001,Groceries,4832.64,36,False
2024-01-01,Tokyo,ST-001,Apparel,1528.58,18,False
2024-01-02,London,ST-002,Apparel,1101.62,3,False
2024-01-02,London,ST-004,Electronics,654.96,15,False
2024-01-03,London,ST-003,Apparel,1965.62,31,False
2024-01-03,Tokyo,ST-004,Apparel,4290.38,19,False
2024-01-04,London,ST-003,Groceries,421.01,39,False
2024-01-04,Tokyo,ST-003,Apparel,727.23,42,True
2024-01-05,Berlin,ST-003,Groceries,4340.75,10,False
2024-01-05,New York,ST-002,Apparel,1297.2,37,False
2024-01-06,London,ST-001,Home & Kitchen,769.26,27,True
2024-01-06,New York,ST-002,Home & Kitchen,2628.91,7,False
2024-01-07,Tokyo,ST-001,Electronics,459.76,31,False
2024-01-07,New York,ST-002,Electronics,3266.27,16,False
2024-01-08,New York,ST-004,Apparel,181.9,49,True
2024-01-08,New York,ST-001,Apparel,2659.68,46,False
2024-01-09,Tokyo,ST-004,Electronics,406.5,28,False
2024-01-09,Tokyo,ST-003,Groceries,502.93,18,True
2024-01-10,Tokyo,ST-004,Apparel,2225.04,42,False
2024-01-10,Berlin,ST-001,Electronics,1067.78,18,False
2024-01-11,London,ST-002,Groceries,3306.1,24,False
2024-01-11,London,ST-003,Home & Kitchen,1029.7,44,False
2024-01-12,Berlin,ST-003,Electronics,566.58,1,True
2024-01-12,Berlin,ST-002,Electronics,4755.87,24,False
2024-01-13,Berlin,ST-002,Home & Kitchen,4412.73,35,False
2024-01-13,Tokyo,ST-003,Electronics,2639.71,24,True
2024-01-14,London,ST-004,Groceries,2441.73,27,False
2024-01-14,New York,ST-003,Electronics,1727.76,24,False
2024-01-15,New York,ST-003,Electronics,4549.06,3,False
2024-01-15,Tokyo,ST-001,Home & Kitchen,1826.24,47,False
2024-01-16,Berlin,ST-001,Apparel,2179.42,1,True
2024-01-16,Tokyo,ST-003,Apparel,686.72,12,False
2024-01-17,New York,ST-004,Home & Kitchen,3996.97,5,False
2024-01-17,New York,ST-004,Groceries,3674.52,2,False
2024-01-18,Tokyo,ST-001,Electronics,148.9,42,True
2024-01-18,London,ST-001,Home & Kitchen,3363.7,16,False
2024-01-19,New York,ST-003,Groceries,3585.9,11,True
2024-01-19,Tokyo,ST-001,Home & Kitchen,3561.56,43,False
2024-01-20,Berlin,ST-002,Groceries,3659.34,41,False
2024-01-20,London,ST-001,Electronics,2383.64,15,False
2024-01-21,New York,ST-001,Apparel,1066.38,24,True
2024-01-21,Tokyo,ST-003,Apparel,2089.34,5,False
2024-01-22,New York,ST-001,Home & Kitchen,2070.27,13,False
2024-01-22,Tokyo,ST-004,Home & Kitchen,4599.13,9,False
2024-01-23,Tokyo,ST-002,Home & Kitchen,2119.39,48,False
2024-01-23,London,ST-001,Apparel,2107.49,14,False
2024-01-24,Tokyo,ST-001,Electronics,1688.73,6,False
2024-01-24,London,ST-001,Groceries,3965.02,13,False
2024-01-25,Berlin,ST-001,Electronics,3298.9,38,False
2024-01-25,New York,ST-001,Groceries,2734.89,1,False
2024-01-26,Tokyo,ST-002,Apparel,4881.17,6,True
2024-01-26,London,ST-004,Groceries,1569.47,9,False
2024-01-27,New York,ST-003,Home & Kitchen,2790.2,20,False
2024-01-27,Tokyo,ST-001,Home & Kitchen,1776.89,1,False
